km,elevation
0,6.0
5,2.0
10,3.3074790996686922
15,1.0
20,0.0
25,7.1662250396620015
30,2.0
35,1.0
40,4.434628959129595
45,4.0
50,5.0
55,2.170102919068889
60,3.3581111938387873
65,4.011574099219157
70,1.790693683776968
75,3.262009526176761
80,3.719099740920349
85,4.839078495516389
90,3.156922098138588
95,8.721340956250813
100,3.0
105,3.0
110,2.0
115,2.789725266029854
120,4.662385744626298
125,2.0
130,6.0
135,13.0
140,13.0
145,17.0
150,22.0
155,25.0
160,20.2414858129611
165,23.35091958908088
170,19.0
175,22.249985857134327
180,27.0
185,32.0
190,19.0
195,13.15946894094078
200,11.0
205,15.0
210,10.182882703362113
215,17.276330882502943
220,23.0
225,21.0
230,17.0
235,14.0
240,18.22441845654169
245,31.435940013725656
250,17.0
255,42.0
260,57.44751015526712
265,25.0
270,19.449849876126372
275,22.0
280,31.0
285,25.80328511063709
290,28.271794224296375
295,34.0
300,30.0
305,27.0
310,32.0
315,40.46532277014463
320,45.16123255972537
325,48.0
330,61.35826408246509
335,84.17518892622674
340,91.0
345,74.0
350,72.0
355,97.8067442451243
360,56.07387613166169
365,47.0
370,68.0
375,49.861336786374785
380,67.0
385,87.20283188012353
390,110.8555939880035
395,112.40008752049056
400,54.55742330368408
405,89.56627678337207
410,129.0
415,152.0
420,257.96633619731807
425,187.3320115106723
430,199.05976100298187
435,111.19750995789988
440,324.7465169805892
445,319.3335592736159
450,321.0937708640789
455,309.26020190246817
460,458.56113967428155
465,562.4407238791391
470,496.0
475,382.90130043101414
480,568.7985452251327
485,546.0
490,398.4392973068724
495,491.97601562685156
500,524.644534845462
505,461.8491181893232
510,477.3224570444632
515,372.43878654753127
520,424.9302754973679
525,327.0
530,312.0
535,305.9708624550284
540,301.42218490056587
545,322.1876322997476
550,380.4598498468487
555,244.1736325321122
560,240.305409307906
565,459.5139087547357
570,304.0
575,255.15647766931903
580,401.95969151318616
585,206.88987248199246
590,299.1142016031926
595,337.1206027721035
600,320.7210329315218
605,317.0
610,354.0
615,294.5131787435033
620,188.0
625,174.42066961878186
630,242.37576925844385
635,227.3846859486882
640,248.57532126429462
645,131.0
650,190.0
655,213.6619569148344
660,209.93158911420306
665,195.02044713706547
670,279.0
675,193.51839201458074
680,207.66692381654462
685,169.0
690,174.0
695,188.50249382612756
700,182.0
705,158.5199329311378
710,226.0
715,282.6350997497634
720,296.76481767116326
725,314.0
730,187.0
735,192.0
740,206.0
745,288.0506587108442
750,249.6348348472065
755,234.68120877789806
760,244.05121576442073
765,170.28998400931104
770,167.13972179815318
775,222.0070729264952
780,249.76763356272264
785,328.0
790,205.0
795,310.3171205171939
800,204.0
805,355.3524116518865
810,337.61874279700044
815,368.7614580621256
820,240.82862962189637
825,291.82505077986247
830,338.0
835,269.1658861013699
840,285.84369474955685
845,219.60118889364398
850,282.0
855,220.0
860,208.6021846272521
865,354.5644161747868
870,291.64668635527147
875,375.0
880,243.76385577282318
885,273.0
890,199.0
895,282.67431757389994
900,293.2303183168412
905,245.7688134649969
910,224.55054585259376
915,221.422023776124
920,206.00914047105056
925,223.54222865138803
930,206.05504299398203
935,221.0469773346989
940,234.85367109769422
945,262.3137889811782
950,264.71978896843467
955,267.0
960,267.0
965,329.0523697559335
970,310.8065605515112
975,324.7769822592412
980,299.56986784491886
985,437.11540153625276
990,581.8197420614164
995,807.2566135313971
1000,959.0
1005,489.4444842317998
1010,313.0
1015,700.0
1020,1004.7667255497124
1025,994.0460066289835
1030,738.9998079316698
1035,725.8729593331207
1040,703.5856578583795
1045,806.1465369535589
1050,342.2776245168939
1055,226.0
1060,606.3615180224238
1065,611.4049288071803
1070,428.72799596647053
1075,442.0
1080,192.0
1085,399.09818886763566
1090,706.4909859187072
1095,477.694421300045
1100,346.0853046087862
1105,674.46032518636
1110,833.6120078428899
1115,994.0467628353779
1120,1181.6289639270694
1125,848.0543794807319
1130,947.0
1135,1127.214324764508
1140,1289.0
1145,1233.7488929224871
1150,1328.7255049575144
1155,768.9291188589024
1160,779.0
1165,1205.800930003838
1170,1260.0
1175,1185.5449331352756
1180,1225.691958714785
1185,958.6772829786546
1190,898.7814075022185
1195,814.0641206165885
1200,338.0
1205,640.9836823935899
1210,1123.2154127777344
1215,983.0
1220,1123.0
1225,1028.936087987884
1230,1057.9819806693279
1235,590.0
1240,500.0
1245,482.0
1250,402.0
1255,402.9906435098051
1260,468.4932808017294
1265,375.0
1270,376.0
1275,358.0
1280,328.0
1285,329.0
1290,403.0
1295,424.6114348799172
1300,585.6037293117593
1305,551.6791017817029
1310,658.593818388196
1315,798.8288940541157
1320,478.78705600797423
1325,391.0
1330,815.166727453742
1335,907.3977795876539
1340,903.5512257035548
1345,690.9057680333704
1350,514.4989655882134
1355,547.0446629401662
1360,552.4911838738452
1365,613.1930084770577
1370,628.0
1375,801.9722026921271
1380,823.8267098858454
1385,741.8168390009033
1390,788.403713542235
1395,927.9503354304942
1400,1262.4443804571908
1405,1103.2695470105834
1410,1180.682503300641
1415,1036.7618108274828
1420,1174.3512920091769
1425,957.492098898707
1430,891.3289993255096
1435,1039.7518431553253
1440,865.4617601234469
1445,1185.9662817257504
1450,1165.0757894427452
1455,1175.4264888422003
1460,996.4709016772936
1465,1387.2340605492177
1470,1224.0
1475,1226.7103896314431
1480,982.5993860572197
1485,956.9060897717093
1490,990.0
1495,1145.432961867108
1500,1130.0
1505,1164.4667392140127
1510,1281.4621222801052
1515,1206.1875956496474
1520,1240.0
1525,1099.2702903032018
1530,1150.262961902519
1535,1298.6858159908347
1540,1423.1575003321589
1545,1157.3522042860027
1550,1072.115361842266
1555,1113.226964778641
1560,668.4554866304294
1565,458.0
1570,402.0
1575,380.221229257541
1580,373.0
1585,373.0
1590,373.0
1595,373.0
1600,489.95672648588953
1605,629.6252748933005
1610,847.770719321754
1615,609.4969927877132
1620,856.2753757802172
1625,1338.0916941654402
1630,1651.5182464951583
1635,1847.5371681201361
1640,1319.3001207137677
1645,1081.2094344450293
1650,1782.0406180697607
1655,1686.1641687299516
1660,1929.678749783816
1665,1846.3894097168545
1670,1870.3663995019235
1675,1544.4287061100206
1680,1046.494740795457
1685,703.7808424907786
1690,789.9291624469186
1695,1264.2688954614337
1700,1839.3350676410569
1705,1959.4130444718726
1710,1873.6752203014328
1715,2290.9056948452408
1720,1358.4956501652239
1725,1069.6468933069077
1730,1540.4484257952756
1735,1049.0
1740,1130.0211041865584
1745,1387.7655682300847
1750,2040.6666786277158
1755,2514.152634818592
1760,1813.4112573331213
1765,1993.396979807385
1770,2279.7568396454853
1775,1749.7362005111297
1780,1488.8936058963866
1785,756.1505162360431
1790,1101.0117245579975
1795,1413.8275327096544
1800,1686.0334307180362
1805,2213.232850072217
1810,2556.4487655766975
1815,2164.4753596807423
1820,1799.0
1825,2130.5411310742074
1830,2601.519015608238
1835,2254.4335365305765
1840,2268.7899916749693
1845,1701.0
1850,1920.34364111237
1855,2357.0
1860,2052.339904239387
1865,2362.905962224309
1870,2370.0
1875,2089.4759469037417
1880,2504.3504842876146
1885,2242.242778992069
1890,2289.495324120585
1895,2468.0
1900,2247.213959071243
1905,2389.6590123071287
1910,2067.3741830654844
1915,1319.689041672001
1920,1225.5955706776597
1925,1636.035113415299
1930,2269.8883157044183
1935,2175.6568857245557
1940,1938.6602560051297
1945,1884.5250634364409
1950,1494.0861168503152
1955,1883.691116273757
1960,2462.0
1965,1885.0
1970,1562.0
1975,1283.2553710285842
1980,1368.6801292998016
1985,1826.6110367444824
1990,2286.6843751810484
1995,1728.1922130852709
2000,1850.0
2005,1703.3509443314083
2010,2291.95136483367
2015,1781.6874775548592
2020,1978.5376480520301
2025,2486.592266620601
2030,1948.2255154319523
2035,1653.2208477649092
2040,1897.0
2045,2361.7227924548547
2050,2527.913957034509
2055,1680.7534838600784
2060,1931.9088019668402
2065,2402.1901021429844
2070,2096.9051186528095
2075,1900.328898834486
2080,1959.300896596942
2085,1623.1000497466302
2090,1249.3023554408205
2095,1652.3136916253638
2100,1939.932399362095
2105,1504.0752186473894
2110,2242.7877915533904
2115,2204.9976362350703
2120,1812.9668320574506
2125,1587.8009050240312
2130,1380.385275449214
2135,643.4345279803379
2140,910.0
2145,1020.0188632684522
2150,1717.3486287392416
2155,1913.0
2160,1673.1764419832534
2165,1400.9424757604418
2170,1230.6024137983502
2175,760.6963911703261
2180,390.785580348396
2185,516.8017928605548
2190,528.0515773088262
2195,615.043582873261
2200,501.58954580742255
2205,54.61326623821989
2210,5.0
